names,scores,logfoldchanges,pvals,pvals_adj
tsh,49.014076,9.018763,0.0,0.0
Octalpha2R,49.006012,8.90958,0.0,0.0
axo,48.913025,5.1236205,0.0,0.0
Lim3,48.88748,8.124818,0.0,0.0
Lkr,48.81696,8.714834,0.0,0.0
SecCl,48.73538,6.8470197,0.0,0.0
Drip,48.730907,6.130643,0.0,0.0
CG17839,48.72021,9.0711355,0.0,0.0
apt,48.63424,5.458931,0.0,0.0
Pvf1,48.58068,5.9402776,0.0,0.0
Prip,48.543034,6.863913,0.0,0.0
Lgr1,48.366936,8.982639,0.0,0.0
ClC-a,48.270374,4.8277597,0.0,0.0
CG6602,48.152977,5.2269154,0.0,0.0
CG33080,48.104195,4.534208,0.0,0.0
RhoGEF64C,48.10316,8.528507,0.0,0.0
CG7536,47.94408,5.3863473,0.0,0.0
Prosap,47.84498,6.133547,0.0,0.0
CG30116,47.749855,5.7979026,0.0,0.0
CG13323,47.73868,5.929487,0.0,0.0
CG34325,47.56507,5.8489738,0.0,0.0
CG10939,47.36768,5.468079,0.0,0.0
Nep2,47.079105,5.9043813,0.0,0.0
l(1)G0196,46.502068,4.166281,0.0,0.0
ush,46.22226,4.8261027,0.0,0.0
Buffy,45.896435,5.283916,0.0,0.0
Frq2,45.882233,8.477525,0.0,0.0
fz2,45.830975,4.07981,0.0,0.0
wat,45.436134,8.193754,0.0,0.0
CG9674,45.23142,4.184007,0.0,0.0
kst,45.14754,3.369334,0.0,0.0
ed,45.05088,3.8700123,0.0,0.0
CG32982,44.931614,3.8186686,0.0,0.0
axed,44.903103,5.055073,0.0,0.0
Ac78C,44.550636,4.6595697,0.0,0.0
Egfr,43.88444,2.9082117,0.0,0.0
qvr,43.812035,8.01824,0.0,0.0
CLIP-190,43.69346,3.0577793,0.0,0.0
pyd,43.65822,3.0942616,0.0,0.0
chrb,43.13802,3.9925184,0.0,0.0
CG3726,43.10986,3.9705431,0.0,0.0
CG42672,43.03196,3.4834578,0.0,0.0
CG42807,43.000675,4.3670897,0.0,0.0
how,42.909264,3.6866667,0.0,0.0
CG10011,42.861065,3.482405,0.0,0.0
Nha2,42.858437,3.7380223,0.0,0.0
hfw,42.76317,4.522787,0.0,0.0
CG5002,42.728912,3.9412534,0.0,0.0
Gmap,42.571556,2.628202,0.0,0.0
CG45060,42.28985,4.5504375,0.0,0.0
CG30377,42.058643,8.563596,0.0,0.0
Ten-a,41.855907,5.143984,0.0,0.0
CG2556,41.38313,3.9751983,0.0,0.0
mtgo,41.34475,3.2505558,0.0,0.0
Msp300,40.707886,2.88876,0.0,0.0
arr,40.40467,2.896403,0.0,0.0
lncRNA:roX1,40.07193,4.6364455,0.0,0.0
CG43313,40.047703,4.295517,0.0,0.0
Dh44-R2,39.743687,2.9138134,0.0,0.0
AdamTS-B,39.621593,3.332858,0.0,0.0
RapGAP1,39.407986,3.7620323,0.0,0.0
CG8034,39.379845,3.636428,0.0,0.0
Cadps,38.891785,3.6627686,0.0,0.0
cv-2,38.861137,4.8086133,0.0,0.0
pain,38.828487,3.9882832,0.0,0.0
sty,38.7494,2.8308194,0.0,0.0
Csk,38.43052,2.3734558,0.0,0.0
wts,38.266834,2.6001766,0.0,0.0
lncRNA:CR45984,38.20293,8.507092,0.0,0.0
IP3K2,38.09021,2.787839,0.0,0.0
CG10082,38.03988,2.8791687,0.0,0.0
rau,37.88148,3.4272435,0.0,0.0
CG4839,37.805103,3.1833825,0.0,0.0
TkR99D,37.633965,9.345668,5.98584828064056e-310,6.268600850739237e-308
gukh,37.590508,2.9923482,3.072168604992643e-309,3.1755051853423957e-307
lncRNA:CR44917,37.584908,9.399287,3.79264280003325e-309,3.86995436480316e-307
out,37.53787,3.4001563,2.2223856644888695e-308,2.2389832283122676e-306
CG4607,37.49937,5.0479217,9.430339389154945e-308,9.382008899785525e-306
Vha100-5,37.45351,3.3003407,5.265910531053578e-307,5.17424468106857e-305
Myo31DF,37.448486,4.4329486,6.357462117515657e-307,6.170614755281355e-305
Stat92E,37.428955,2.319706,1.3214984228886486e-306,1.2672055358759944e-304
tws,37.296196,2.4459338,1.8915182307718147e-304,1.7922135236562946e-302
tio,37.254143,6.8912406,9.07924066984122e-304,8.501373704854855e-302
BicD,37.169025,2.4798343,2.1606796453871887e-302,1.999633639260074e-300
scyl,37.029633,2.3029897,3.820546871122217e-300,3.4951416720990486e-298
Snx27,37.019047,2.6774237,5.655951220773807e-300,5.1154222461521285e-298
CG8312,36.8365,3.2759368,4.8109150186233225e-297,4.3022553520475305e-295
CanA-14F,36.33006,3.5290713,5.426732294222644e-289,4.799040258857558e-287
Pde1c,36.230038,3.113852,2.049620038955369e-287,1.7926292186863497e-285
cv-c,36.2105,2.8943172,4.161809545539631e-287,3.600417627494557e-285
lncRNA:CR44145,36.058693,4.43758,1.007760554803022e-284,8.624479844814249e-283
CAP,35.865902,2.2588449,1.0393611552172516e-281,8.800293015291601e-280
sli,35.83586,3.9754837,3.0539716264738883e-281,2.5585852815900713e-279
Cirl,35.58437,1.9052442,2.444745046977396e-277,2.0268464405096974e-275
Ncc69,35.4265,5.5114274,6.675947841206766e-275,5.477718440016975e-273
lin-28,35.331074,3.4588745,1.958075544277482e-273,1.5902370670310692e-271
Epac,35.230976,3.0313563,6.711157249297803e-272,5.395363691632447e-270
su(r),34.89919,2.9705577,7.647807729356711e-267,6.026623932470304e-265
rols,34.749344,2.4780023,1.4179404448302566e-264,1.1064105882749032e-262
Gp150,34.72471,1.7155737,3.338947755102233e-264,2.580066522607638e-262
CG6959,34.571865,3.0356948,6.690696067102991e-262,5.1203124998146836e-260
CG43693,34.569187,2.6130068,7.340459896922914e-262,5.5640686018675685e-260
fng,34.501038,4.9894543,7.739022733808272e-261,5.810837918715098e-259
sqa,34.31749,2.9418912,4.304343430108497e-258,3.201707416844255e-256
CG14764,34.116104,2.522582,4.25662719035733e-255,3.1368977600049993e-253
yuri,34.115753,3.0205543,4.307901739782885e-255,3.145558710727705e-253
GstT4,33.936695,4.0951114,1.9167372023414176e-252,1.3868464903123039e-250
RhoGAP71E,33.935722,2.113274,1.9812146711062234e-252,1.4205844655256244e-250
Myo28B1,33.87084,4.4078836,1.7911050337690115e-251,1.2728040146221036e-249
Notum,33.761406,7.307832,7.271570674218508e-250,5.1216310616022215e-248
loco,33.74361,2.8643734,1.326571305059748e-249,9.261562295588188e-248
Ccm3,33.637474,2.4348452,4.753994543010115e-248,3.2901776145928264e-246
spir,33.591427,2.454696,2.2379525579868942e-247,1.5355055525015252e-245
