names,scores,logfoldchanges,pvals,pvals_adj
Antp,11.790767,9.243091,4.3555686988310186e-32,3.466597127399608e-28
Ubx,11.511864,8.956014,1.1496690696262485e-30,4.575108062577656e-27
Snmp1,10.956201,6.0815372,6.204979299748006e-28,1.646181008223146e-24
Rbfox1,10.698658,3.6327667,1.0326249594269118e-26,2.054665513019698e-23
Pde1c,10.3250885,3.8752818,5.42689918764358e-25,5.748989277534007e-22
snu,10.004029,7.930613,1.463191485568461e-23,8.3182435954567e-21
pdm3,9.741835,7.3916726,1.9991223552864902e-22,9.944384266078235e-20
AdoR,9.634262,6.227761,5.730217856489411e-22,2.6827531717528957e-19
sano,9.449904,7.2340565,3.391404217979919e-21,1.2853421986143895e-18
dpp,9.364704,6.124079,7.62636667000467e-21,2.639054448981181e-18
CG40486,9.0025015,8.169704,2.206312699031589e-19,5.639225564602513e-17
Msr-110,8.654096,4.108944,4.968369918211184e-18,9.196106088149491e-16
nahoda,8.547292,5.524448,1.260106047494519e-17,1.8572563022238663e-15
Liprin-gamma,8.185251,5.0633626,2.717362469773698e-16,2.8087646619388132e-14
CG7497,8.099201,5.839652,5.532114468832216e-16,4.825828041908684e-14
NetB,7.6868744,4.452082,1.5077316043392144e-14,8.189132221321101e-13
Proc-R,7.590994,5.8688416,3.1746147860512135e-14,1.4689976210570703e-12
ETHR,7.260226,4.322158,3.864447518678908e-13,1.2762297842807231e-11
fax,7.241859,4.2837677,4.425766029809743e-13,1.4143016956513946e-11
stumps,7.0222235,3.1275177,2.183650305244401e-12,5.793224259813396e-11
glob1,6.9795423,2.6362813,2.961431473848959e-12,7.652608149468788e-11
wat,6.971694,2.3808177,3.1314733455810575e-12,8.039805276606334e-11
CG42598,6.879657,3.8859177,5.999701167964339e-12,1.421179214161553e-10
CG11147,6.862301,5.6844144,6.776009947983514e-12,1.5955699164497275e-10
CG3191,6.8210764,3.905795,9.036088259731542e-12,2.0606941678854825e-10
CG12814,6.652901,6.174808,2.873715679987971e-11,5.733883036064711e-10
CG1136,6.422019,6.307703,1.3447878211780667e-10,2.24571318479755e-09
lncRNA:CR44811,6.4218163,3.8996942,1.3465764382427025e-10,2.24571318479755e-09
form3,6.4215736,2.5391245,1.3487258478869569e-10,2.24571318479755e-09
CG4829,6.2499194,2.4038832,4.106650927883061e-10,6.225682806670721e-09
CG40006,6.2392793,2.6482697,4.3959154555960375e-10,6.613816845196382e-09
CG8740,6.233575,3.5390139,4.559089554883919e-10,6.8334828187045405e-09
rut,6.1392317,1.6865058,8.292154595801654e-10,1.1619235638729818e-08
Ptp4E,6.085911,2.5665138,1.1583095531051545e-09,1.5520178001959468e-08
