names,scores,logfoldchanges,pvals,pvals_adj
CG33258,37.958294,4.0411615,0.0,0.0
CG15279,36.50906,5.146987,7.965138377130167e-292,3.16972681717895e-288
Ndae1,36.49373,4.8275313,1.3943994383504223e-291,3.6993417099436706e-288
Picot,35.556915,4.131949,6.496668285510519e-277,1.28915939182004e-273
CG32017,35.55072,3.4574037,8.098752304435482e-277,1.28915939182004e-273
bbg,35.225418,3.587361,8.163668839163457e-272,1.0829106715150326e-268
Glut1,34.886738,3.875245,1.1814248295769635e-266,1.3432800312290076e-263
Kif3C,34.665867,3.7347355,2.576401438898564e-263,2.563197381524209e-260
CG17834,34.27071,3.1347084,2.143963532179227e-257,1.706380575261447e-254
CG33181,34.069813,4.01971,2.065785279655138e-254,1.4946895491613858e-251
CG42668,33.917194,2.765877,3.716680970873254e-252,2.465088653931686e-249
MFS12,32.874138,3.9269023,5.149250267827169e-237,3.152529452433572e-234
fz,32.79634,3.1537623,6.639391682507832e-236,3.7744941715057027e-233
Mur29B,31.792683,3.9659421,8.170509019683436e-222,3.825240075744734e-219
Calx,31.787096,2.6227863,9.760056273794832e-222,4.3155715490629477e-219
dmGlut,30.735533,2.857845,1.908616937141218e-207,7.595341101353478e-205
CG10226,29.530712,2.5724025,1.1617523098133446e-191,4.403041254192576e-189
drm,28.547066,3.3346934,3.0546707132414693e-179,9.350817002572637e-177
Ggt-1,28.518768,2.4443374,6.855554936618263e-179,2.020865249649806e-176
smp-30,27.83967,2.118176,1.4366657996658168e-170,3.94290451708284e-168
CG8249,27.536766,3.1745193,6.374701591279153e-167,1.6912083321663593e-164
Nha1,27.351055,3.3104348,1.0491171823001062e-164,2.6935237593311436e-162
CG31198,27.036879,1.9370255,5.449111404173626e-161,1.355296177056809e-158
CG43800,26.893122,2.5844576,2.6432035804896343e-159,6.374926453671819e-157
pyr,26.507376,3.0708995,7.969244267220756e-155,1.8655063271414706e-152
CG4783,26.257233,2.2605333,5.909747623442209e-152,1.3438766095707582e-149
CG4562,26.24886,2.395957,7.365292771302094e-152,1.6283434768553712e-149
Cyp6a18,26.220602,2.0561948,1.5473904022132535e-151,3.328562219247374e-149
Alp4,26.091223,1.8936553,4.585794586848797e-150,9.604826083349888e-148
CG31886,25.811953,1.9115698,6.51066272399762e-147,1.2954591155074264e-144
Mdr49,25.767088,2.5043752,2.074258361818402e-146,4.0265908052957715e-144
CG7720,25.34542,2.5689332,1.0094272020690923e-141,1.91286454792093e-139
Cln3,25.33071,1.960481,1.4662616791064234e-141,2.7139480706995404e-139
HDAC6,25.22109,1.5929697,2.3518109029683866e-140,4.254105221983043e-138
NAAT1,24.898842,2.37538,7.658176257016882e-137,1.3544761073243858e-134
CG5399,24.825174,1.8116829,4.7954585972710165e-136,8.297185864278265e-134
lncRNA:CR46006,24.600805,1.9162,1.2383701928379608e-133,2.0970613542121977e-131
CG7402,24.242523,2.456013,7.928626212299405e-130,1.3146653338268952e-127
Mco1,23.9994,2.1126301,2.821294512419628e-127,4.5825883723158816e-125
slif,23.88549,1.6881096,4.334435896367187e-126,6.764269666507146e-124
Ugt301D1,23.775496,1.951997,5.988446232983978e-125,9.165777609292209e-123
CG15221,23.404501,2.3511136,3.8456033578578504e-121,5.564937659125569e-119
bab2,23.223413,2.52743,2.641524370822929e-119,3.688402187259595e-117
Trim9,22.647871,2.686849,1.4641743380705272e-113,1.9103874683120207e-111
otk,22.600756,2.7170942,4.2601257596339035e-113,5.420400017915273e-111
CG1698,22.582375,1.7772985,6.458355236793749e-113,8.031570207756476e-111
CG15673,22.436256,1.8778065,1.743167653409425e-111,2.1021017202250933e-109
Chs2,22.255037,4.8986545,1.0080975345791846e-109,1.1975295936889149e-107
Gr98a,22.119696,1.6108539,2.043007771756384e-108,2.3565650515085596e-106
CG10737,21.959272,2.4695618,7.062219687388388e-107,8.029743784560596e-105
bab1,21.948088,1.650647,9.032002421795888e-107,1.0124747503531475e-104
SLC5A11,21.893715,1.8469114,2.9819621655063534e-106,3.296310677120148e-104
CAH2,21.648977,2.1445596,6.214445641758099e-104,6.683888224696311e-102
CG14694,21.424152,2.3153718,7.957124142132522e-102,8.332993558846414e-100
CG9498,20.974583,1.4443532,1.1194626320553634e-97,1.1422824472472612e-95
goe,20.821215,1.5464286,2.78051626925526e-96,2.732114689753409e-94
CG33282,20.689928,1.8962586,4.268493249525174e-95,4.143041191825715e-93
CG7084,20.588247,1.7529478,3.4979618951728867e-94,3.31431889567631e-92
kon,20.54169,2.5792482,9.132815349788056e-94,8.551538513995663e-92
cad,20.384409,1.6394869,2.2997765416079605e-92,2.0799910789383817e-90
Alp2,20.188194,1.5455707,1.2432444099193758e-90,1.0994424731720345e-88
CG30197,20.159676,2.381446,2.2133218027219337e-90,1.9358052997652606e-88
Pura,19.928787,2.6712244,2.2904895664693693e-88,1.960215748336528e-86
CG13075,19.792269,3.4367933,3.4706018035465884e-87,2.847682448910031e-85
CG13284,19.20378,1.3114876,3.441204729107005e-82,2.6851518077414367e-80
CG13482,19.19292,1.9603548,4.241216455228283e-82,3.2772661909865926e-80
fok,19.171873,1.4366238,6.357854301319812e-82,4.86559253694273e-80
NK7.1,18.98161,1.2635567,2.420637259078742e-80,1.8175332023592178e-78
Naprt,18.92165,1.362532,7.564912474309043e-80,5.627022278787446e-78
CG6733,18.920424,1.2722093,7.743062089524719e-80,5.706206589863633e-78
Sema1a,18.827269,1.6269798,4.5145231989816123e-79,3.208133048276308e-77
CG8745,18.753277,1.4730589,1.8202298344857452e-78,1.2820539161656678e-76
CG14879,18.452057,2.3262172,5.019827852837766e-76,3.2748204820275228e-74
NT5E-2,18.101208,1.1627839,3.117611722784871e-73,1.9692914048924432e-71
CG33301,18.085047,1.7673512,4.180200932056177e-73,2.6197023006484346e-71
CG42514,17.974646,1.6520026,3.0782409169516684e-72,1.8992030587611107e-70
odd,17.819138,3.1776664,5.020373015075072e-71,3.050164032594083e-69
Atf3,17.723997,1.1522232,2.7375187478258267e-70,1.6259635607422204e-68
SPR,17.591007,3.5638988,2.886969639216492e-69,1.6771818509871577e-67
CG10960,17.3477,1.5940238,2.0530216392970812e-67,1.1671428019403906e-65
