names,scores,logfoldchanges,pvals,pvals_adj
whe,36.996376,5.573534,1.3096017602344908e-299,1.0423120409706313e-295
lcs,36.943596,5.4503503,9.228995610595466e-299,3.672678803236466e-295
CG45080,36.907265,5.533079,3.5336218935165796e-298,9.374698883499486e-295
GlcAT-P,36.754288,13.650105,9.929510188656455e-296,1.9757242897879183e-292
CG16826,36.70802,5.431117,5.4394900347197405e-295,8.658580237266882e-292
CG43679,36.530838,6.2443476,3.593564222984736e-292,4.766862941789252e-289
5-HT2A,36.46206,16.483477,4.430595429665442e-291,4.97877717260246e-288
CG34212,36.45872,6.3828025,5.004424849958497e-291,4.97877717260246e-288
kl-3,36.26435,6.194829,5.903612627370925e-288,5.220761433471687e-285
Sox21b,35.504868,32.082207,4.134500895597902e-276,3.29064926280637e-273
Fas1,34.318367,8.92216,4.176344761422351e-258,2.5568867658584995e-255
Ag5r,33.479523,4.63375,9.574768451262545e-246,5.443255864542757e-243
pio,33.270634,11.258227,1.0270093793680856e-242,5.449311766927063e-240
dpy,33.03342,4.732539,2.6916050183734524e-239,1.3389052713271442e-236
NLaz,32.02579,3.3687162,4.7713606209094507e-225,2.2338387754010776e-222
CG15822,29.740047,6.717314,2.3324089003915592e-194,8.438019290098374e-192
chas,29.623621,4.51627,7.418468312627041e-193,2.567112578269505e-190
ko,29.473242,6.483993,6.343050986664815e-191,2.103514283452719e-188
jbug,29.454927,4.8518367,1.0886877435752002e-190,3.424368061932566e-188
be,29.454008,2.918282,1.1186527152939653e-190,3.424368061932566e-188
CG30015,29.445017,3.5249631,1.4581802762084636e-190,4.298391414201171e-188
CG43680,28.635954,6.0762043,2.3981399357949736e-180,6.581653706549033e-178
CG8668,28.46638,3.0846374,3.055714121788335e-178,7.845299579133341e-176
CG12310,27.753551,6.7957697,1.5787635928253975e-169,3.5901084100849535e-167
Cirl,27.698689,2.0294328,7.2408613950235e-169,1.6008337734164453e-166
Gfat1,27.336302,4.4698796,1.5713327720838273e-164,3.206727572567995e-162
CG32521,27.19146,3.0502973,8.195591957576988e-163,1.5909443022037867e-160
CG7720,27.1899,4.1409426,8.551240557043806e-163,1.6204600855598012e-160
pbl,26.99705,6.912243,1.600630183677476e-160,2.830981251530896e-158
Fili,26.830467,4.3354,1.425840979782156e-158,2.4145251825715274e-156
Gs2,26.738926,2.9210684,1.6610523959931972e-157,2.6980236774918075e-155
stumps,26.53926,3.9281054,3.4167320376294623e-155,5.332111821077037e-153
CG8740,26.466711,6.917134,2.3433771636735767e-154,3.5867190087842304e-152
CG34398,26.287033,8.440055,2.698125162315222e-152,4.051769465446576e-150
esn,26.237453,7.1829224,9.939777630478182e-152,1.4650127807588121e-149
CG33109,26.145811,6.9735413,1.0997911441085884e-150,1.5630781635643312e-148
toc,24.550629,2.9266112,4.25864544095348e-133,4.580345819533614e-131
Idgf3,24.430557,2.93364,8.099966557559551e-132,8.595684510882196e-130
Mhcl,24.130438,2.448187,1.1982880739040822e-128,1.2072373139496951e-126
CG44142,23.948893,6.2387013,9.48884490373415e-127,8.990680546288109e-125
norpA,23.802849,2.1603546,3.1204468618598754e-125,2.887864717853808e-123
CG32984,23.787619,7.989374,4.4863556501400295e-125,4.104241910283275e-123
CG1213,23.753767,8.370246,1.0045482498847593e-124,8.983370248126741e-123
