names,scores,logfoldchanges,pvals,pvals_adj
CG10911,12.146291,8.731646,6.0027851209880245e-34,4.7776166777943686e-30
CG13492,11.92537,9.230518,8.729557212024847e-33,3.473927292525288e-29
CG43349,11.764201,6.87005,5.968893317580293e-32,1.5835473971540517e-28
Trim9,11.520289,4.4807496,1.0426024238748993e-30,2.074518172905081e-27
Oatp33Ea,11.43994,8.709322,2.640672369759222e-30,4.2034222781827296e-27
peb,11.374735,5.266465,5.5872242037395264e-30,7.411452906260481e-27
pigs,11.109716,4.6037083,1.1251627055808885e-28,1.27930999624547e-25
CG32473,10.906764,5.1604724,1.0699723312118395e-27,9.819745291735642e-25
fra,10.90339,5.849172,1.1104122078856738e-27,9.819745291735642e-25
CG2556,10.729392,3.9718184,7.408194911001389e-27,5.896182329666005e-24
nub,10.651161,7.4043765,1.7220284074436469e-26,1.2459658268039987e-23
NAAT1,10.524439,4.3093615,6.665729808904636e-26,4.421045295755999e-23
CG10737,10.418745,3.942125,2.0362134633193387e-25,1.2466325349660475e-22
CG13482,10.308069,4.3235397,6.478984793901968e-25,3.6833028553332687e-22
bbg,10.174873,4.2895966,2.5673382590949745e-24,1.3338863283301458e-21
CG31343,10.170636,6.073385,2.681515423204213e-24,1.3338863283301458e-21
Myo61F,10.037362,3.8905547,1.0442981827985514e-23,4.8891583746433365e-21
dve,10.013077,3.645446,1.3353400990563885e-23,5.904428804660997e-21
Mdr50,9.924881,7.8878303,3.2448998850203225e-23,1.3592714834145655e-20
ABCA,9.914916,3.482673,3.585590284907223e-23,1.4268856538788294e-20
dmGlut,9.8738785,4.2203107,5.403425429860838e-23,2.0478982379172577e-20
CG5853,9.858302,4.4574924,6.310721778317953e-23,2.2830470288014812e-20
CG4839,9.8139305,3.1220357,9.80728403030685e-23,3.3937466781396616e-20
fabp,9.687953,4.010578,3.392599004666979e-22,1.1250706449226867e-19
fz,9.545851,3.463332,1.3499442146614484e-21,4.297682401796187e-19
CG34330,9.534317,3.9345498,1.508758500255361e-21,4.618541885974007e-19
CG31198,9.515917,3.1102543,1.8011819836971006e-21,5.309484225276009e-19
CG8774,9.452673,8.217087,3.3028677237669514e-21,9.38840150480756e-19
sqa,9.376522,2.9293172,6.81850003429355e-21,1.871325578377323e-18
CG13160,9.339251,6.1118245,9.701853623636226e-21,2.573901766350691e-18
CG2930,9.290876,2.8341768,1.5302342529968202e-20,3.805979506125529e-18
CG5011,9.281853,6.004786,1.6655701084517793e-20,4.017052270656883e-18
Jon65Aiv,9.206094,8.282034,3.382091669342357e-20,7.917078704792888e-18
vanin-like,9.166116,4.6027923,4.9037223244256375e-20,1.11510645657439e-17
CG33298,9.140535,2.8280995,6.214387807998383e-20,1.3738975712183091e-17
drm,9.065365,3.620183,1.2418767896652145e-19,2.6713776672825518e-17
Meltrin,9.04975,2.7257283,1.4329557579485252e-19,3.0012881256611343e-17
CG9673,8.942762,7.3880653,3.795624027782662e-19,7.745992727467233e-17
CG8051,8.861275,3.7299345,7.910433591281339e-19,1.5739785238252044e-16
Ae2,8.744518,4.868752,2.2396991059033973e-18,4.267889175554511e-16
CG15347,8.74389,3.8660457,2.252184261506338e-18,4.267889175554511e-16
CG12974,8.706854,2.9256372,3.124244573162843e-18,5.782758734372807e-16
CG32633,8.685904,7.24393,3.757426933763418e-18,6.645635770182898e-16
corn,8.658284,4.573237,4.789198468443417e-18,8.110049066030032e-16
CG7470,8.616736,2.748375,6.8889653863688506e-18,1.142276573127285e-15
CG17119,8.5380745,3.0897853,1.364774895279786e-17,2.1724486783063632e-15
CG3277,8.533641,3.1301343,1.4181280732218222e-17,2.2131139872102907e-15
lncRNA:CR46006,8.437912,2.7436357,3.2305598246197593e-17,4.851325593235597e-15
mesh,8.411509,2.34025,4.047709282672512e-17,5.857403305598277e-15
CG44014,8.343792,5.9752045,7.194525856968085e-17,1.022521987421589e-14
CG42514,8.297027,3.1071107,1.0674940941152827e-16,1.4905588587830762e-14
cindr,8.234371,1.9230785,1.8050253598254725e-16,2.4769304894570577e-14
ZnT41F,8.19918,2.1020896,2.4203295912725317e-16,3.2649835960912e-14
raw,8.179603,2.3319178,2.8478193220867634e-16,3.777632330748092e-14
Mical,8.173953,2.1824331,2.98446438124172e-16,3.8939921328365325e-14
CG18788,8.109571,4.99805,5.079855018319454e-16,6.417550173143576e-14
CG30015,8.052409,2.6702976,8.117999705685793e-16,1.0095493696492692e-13
CG1358,8.040208,3.7413883,8.968632801890915e-16,1.0981745918499967e-13
klar,8.001916,1.8554664,1.2249762685189254e-15,1.477210018354868e-13
Nep1,7.95978,7.316078,1.7234527833835762e-15,2.04730756760446e-13
Chd64,7.904658,2.1927795,2.6867063714957703e-15,3.144631766284535e-13
fa2h,7.8273296,5.7501483,4.9834129115891545e-15,5.666140480476868e-13
Calx,7.7877045,2.6187172,6.823763316932534e-15,7.543101699925837e-13
CG15706,7.7682056,2.1775548,7.960580796293532e-15,8.679214049000031e-13
Mct1,7.663532,6.293429,1.8088817858727138e-14,1.8943276491790696e-12
CG32054,7.65596,6.3634753,1.918733946106202e-14,1.9832731788388654e-12
CG42668,7.6427383,2.3520696,2.126495616729358e-14,2.151538755556624e-12
CG14457,7.642189,4.782625,2.1355894168736437e-14,2.151538755556624e-12
odd,7.6077037,3.8698175,2.7900903223452423e-14,2.7757911094432228e-12
Alp5,7.6036625,5.8680525,2.878654088360768e-14,2.828544183859673e-12
Damm,7.5928736,3.7838306,3.128881530778268e-14,3.036922939446858e-12
CG44250,7.57259,3.0532134,3.6585562793328454e-14,3.508246918940978e-12
CG13917,7.5504627,2.706273,4.3371496836497474e-14,4.109449325258136e-12
Myo28B1,7.534416,3.116774,4.905239912915387e-14,4.593035819634537e-12
CG44008,7.46772,2.5076678,8.159607001963308e-14,7.464633578002985e-12
CG8907,7.4625025,3.276828,8.489454377727148e-14,7.67813265821936e-12
pst,7.372306,2.1908004,1.6770191750918708e-13,1.499707372422045e-11
CG5346,7.364106,2.5015695,1.7833794041797334e-13,1.5771018530962773e-11
CG3987,7.3473144,5.622255,2.0222896691681615e-13,1.7495003779249343e-11
l(2)03659,7.3392715,3.881086,2.1475950858195746e-13,1.8379257298965585e-11
CG3036,7.2715945,3.1782274,3.5526824608034e-13,2.976399969003607e-11
hiw,7.243818,2.2914593,4.36227570335206e-13,3.5793146724720665e-11
CG31324,7.1979938,2.6548758,6.110499741918749e-13,4.962598718972584e-11
kst,7.1604085,1.9140308,8.043703267327783e-13,6.466649929763822e-11
Lpin,7.158839,2.3438218,8.136309375443578e-13,6.475688631915544e-11
bmm,7.121215,3.9582186,1.0697997559964817e-12,8.347584566643135e-11
Mur29B,7.0784903,2.813625,1.4573361724415638e-12,1.1152825573521546e-10
dl,7.073664,1.7769178,1.5089499976272792e-12,1.1437840982014776e-10
pyr,7.049928,2.5558584,1.7900985026762994e-12,1.344093771962327e-10
ABCD,7.0405126,1.7970998,1.915340105372636e-12,1.424690831650543e-10
CG9568,6.944941,2.7564216,3.7861850577129645e-12,2.7646098049850905e-10
CG17834,6.9362707,2.0223272,4.025863472589363e-12,2.9128952162126125e-10
CG32687,6.90716,3.6911316,4.9445334407865175e-12,3.5453641130828735e-10
l(1)G0469,6.8697705,2.1375434,6.430520666621446e-12,4.569688748717865e-10
bab1,6.848899,1.9832265,7.442066461588364e-12,5.24171743077715e-10
AANAT1,6.8423862,2.9850545,7.78848611501998e-12,5.437593069249475e-10
CG5506,6.817944,5.2724075,9.235268996726456e-12,6.391609212603988e-10
elB,6.785616,2.0753002,1.1559228067282291e-11,7.863238990384594e-10
vib,6.7737284,1.6551665,1.255052308342244e-11,8.465221459403322e-10
Cyp4ac3,6.665367,5.812591,2.640049784192086e-11,1.7365418373871745e-09
spir,6.6131086,1.7857876,3.7633218126603166e-11,2.4155063150776986e-09
CG5910,6.56446,4.356815,5.222186040392653e-11,3.3250702956388102e-09
CG42336,6.461159,4.0700736,1.0390385632982586e-10,6.46070931663347e-09
Hnf4,6.4026237,1.8302759,1.5272926356293432e-10,9.139640666897702e-09
